id,gender
0,0
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,1
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,1
401,0
402,0
403,1
404,0
405,0
406,1
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,1
528,0
529,0
530,1
531,0
532,1
